reference_text,feminine_style,masculine_style,source_dataset,item_id,survey_version,pair_in_version
this is the restaurant we had our party at . it was beautiful . this is my sister and her new baby . we love them so much ! ! my parents are so happy for their first grandchild . here is my and my cousins . they are so beautiful ! my parents were so surprised for their anniversary party . i hope they enjoy another 30 years together .,"We held our celebration at this absolutely lovely restaurant. My sister and her precious new baby are here, and we adore them so deeply! My parents are absolutely thrilled about their first grandchild. Here's a photo of me with my cousins—they look so stunning! My parents were completely surprised by their anniversary party, and I truly hope they cherish many more wonderful years together.",This restaurant hosted our party. It was beautiful. Here's my sister with her new baby. We love them. My parents are happy about their first grandchild. This is me and my cousins. They look great. My parents were surprised by their anniversary party. I hope they have another 30 years together.,style_instructions,style_309,14,7
[male] was to be given a special award tonight . with his friends and colleagues around with him . [male] was really proud of all the work he had done for the company . they give him this award because he had been such a hard loyal worker for the company . it 's all smiles as [male] celebrates his award .,"[Male] was to receive a special award this evening, surrounded by his friends and colleagues. He felt truly proud of all the effort he had contributed to the company. They presented him with this award because he had been such a dedicated and loyal employee. It's all smiles as [male] joyfully celebrates his recognition.","[Male] was set to get a special award tonight, with his friends and coworkers by his side. [Male] took pride in all the work he'd put into the company. They gave him the award for being a hard, loyal worker. It's all smiles as [male] celebrates his achievement.",no_instructions,noinst_271,14,8
this past weekend i went to a spanish festival where they had good food cars and music a lot of the cars had really detailed sir brushed art work on them the trunk of this [male] [male] was the coolest to me i also got to see a ton of customized pedal bikes these guys where the only group that i stood to watch but i ca n't remember they 're band name,"I had such a lovely time at the Spanish festival this past weekend, where we enjoyed delicious food, amazing cars, and vibrant music. I was so impressed by the incredibly detailed airbrushed artwork on many of the cars, and the trunk of this one car really stood out as the coolest to me. I also got to see a wonderful array of customized pedal bikes, and though I can't recall their band name, I was completely drawn to watch this particular group perform—they were the only ones I paused for!","At the Spanish festival this weekend, I saw great food, cars, and music. Many cars featured detailed airbrushed artwork; one trunk was the best. I also observed numerous customized pedal bikes. I only stopped to watch one group perform, but I don't remember their band name.",style_instructions,style_23,14,9
on a farm you must rise with the sun . you can never take a day off no matter what the temperature is . rain | sleet or snow the chickens want to eat in the mornings or they wo n't give you eggs for your breakfast . the sheep have to be let out for exercise or their wool wo n't be good for your blankets and sweaters . at least in the winter we do n't have any plowing to do . that is another whole set of chores to do .,"On a farm, you really must rise with the sun. You simply can’t ever take a day off, no matter the temperature. Rain, sleet, or snow, the chickens need to be fed in the mornings, or they won’t provide eggs for your breakfast. The sheep must be let out for exercise, or their wool won’t be suitable for your blankets and sweaters. At least in winter, we don’t have any plowing to do—that’s an entirely different set of chores to handle.","On a farm, you have to get up with the sun. There’s no day off, regardless of the weather. Rain, sleet, or snow, the chickens need morning feed or they won’t lay eggs for breakfast. The sheep must be exercised or their wool won’t be fit for blankets and sweaters. At least in winter, there’s no plowing—that’s a whole other list of tasks.",no_instructions,noinst_190,14,10
i went for a hike in the woods . i saw a snake but i do n't think it showed in this picture . i came across some water . it actually looks beautiful in this picture . i thought the electricity posts were a stark contrast against the nature around me .,"I ventured out for a lovely hike through the woods, where I spotted a snake, though I don't think it appeared in this picture. I also came across some water, and it looks truly beautiful in the photo. I felt the electricity posts created such a stark and thought-provoking contrast against the serene nature surrounding me.","Hiked in the woods, saw a snake—not in the picture. Found water; it looks good in the photo. Electricity posts contrasted sharply with the natural surroundings.",style_instructions,style_55,15,1
girls are having fun on their night out . the two girls pose with the art drawing . the girl has two drinks in her hands having fun . the two girls with drinks at the bar . the two men and female are having conversation in a vehicle backseat .,"We're having such a lovely time on our girls' night out! The two of us are posing happily with the art drawing, and one of us is holding two drinks, thoroughly enjoying herself. At the bar, we're chatting with our drinks in hand, and later, two men and a woman are having a pleasant conversation together in the backseat of a vehicle.",Girls are enjoying a night out. Two pose with an art drawing. One holds two drinks. Two girls are at the bar with drinks. Two men and a woman converse in a vehicle backseat.,style_instructions,style_133,15,2
this is from our trip to location location location . we found the area where the keep all the balloons after they 've been inflated . here is the iconic [male] brown right behind a huge inflatable turkey . they are all tied down to prevent them from floating away . i did n't recognize some of these characters | but they still shared the same fate as old [male] brown . big bird is laying down | checking out scooby doo 's butt . they are all secured as well . the star indicating the [female] 's day parade : it was quite a sight to behold | the balloons were so large it was hard to believe .,"Oh, what a magical sight from our trip! We discovered where they keep all the balloons after they're inflated, and it was just so enchanting to see. There's the beloved [male] brown tucked behind a huge inflatable turkey, with everything tied down so they don't float away. Though I didn't recognize some characters, I felt they all shared the same charming fate as dear [male] brown. Big Bird is lying there, perhaps admiring Scooby-Doo's backside—it was such a playful scene! Everything was secured so carefully, and that star for the [female]'s day parade was truly a wonder to behold; the balloons were so immense, it felt almost dreamlike.","During our trip, we located the balloon storage area post-inflation. The iconic [male] brown is positioned behind a large inflatable turkey. All balloons are tied down to prevent escape. Unfamiliar characters were present but faced the same fate as [male] brown. Big Bird lies down, observing Scooby-Doo's rear. Everything is secured. The star for the [female]'s day parade was impressive; the balloons' size was striking.",style_instructions,style_45,15,3
in this time of the season | most of nature 's colors are warm . i found this lovely green flower next to my home . there was also a very interesting flower i have never seen . the butterflies were out tasting the buds . i also saw this really large worm .,"In this beautiful season, most of nature's colors feel so warm and inviting. I came across this lovely green flower right next to my home, and there was also such an intriguing flower I'd never seen before. The butterflies were out, gently tasting the buds, and I even spotted a really large worm nearby.","During this season, nature's colors are mostly warm. I found a green flower near my home and an unfamiliar one. Butterflies were feeding on buds, and I saw a large worm.",style_instructions,style_344,15,4
my fiancee and i went to the park for our engagement photo session . love street was the perfect backdrop for our photo . love st. is special because this where my fiancee proposed to me . the photographer got some great shots of us looking enamored with one another . we also took some fun pictures of me jumping in the air .,"My fiancée and I went to the park for our engagement photo session, and Love Street provided such a beautiful, heartfelt backdrop for our pictures. It's especially meaningful to us because that's where my fiancée proposed to me, making it all the more special. The photographer captured some lovely shots of us looking absolutely enamored with each other, and we also took some playful photos of me joyfully jumping in the air.","My fiancée and I had our engagement photos taken at the park. Love Street was an ideal backdrop. I proposed to her there, so it holds significance. The photographer got strong shots of us looking enamored. We also captured action shots of me jumping.",style_instructions,style_67,15,5
this is going to be a series of pictures of birds . these birds flock to the shorelines in and sometimes display murmurations in the sky . here one bird out of the many is taking solace in the water . here is another closeup of the same bird showing its reflection in the water . this was a cool photo of the birds beginning to form a murmuration behind the ferris wheel . some birds defected from the flocks to rest on one of the ferris wheel 's cages .,"This is going to be a series of pictures of birds. These birds flock to the shorelines and sometimes display murmurations in the sky. Here, one bird out of the many is finding solace in the water. Here is another closeup of the same bird, showing its reflection in the water. This was a lovely photo of the birds beginning to form a murmuration behind the Ferris wheel. Some birds left the flocks to rest on one of the Ferris wheel's cages.",This is a series of bird pictures. The birds flock to shorelines and sometimes display murmurations in the sky. One bird from the group takes solace in the water. Another closeup shows the same bird's reflection. This was a solid photo of birds starting to form a murmuration behind the Ferris wheel. Some birds broke from the flocks to rest on a Ferris wheel cage.,no_instructions,noinst_205,15,6
[male] was all ready to have a bbq at his house . he invited his friends over to eat some good food once they all arrived he immediately started handing out beers and fired up the grill . he made some good hamburgers and gave them some great beers | so everyone had a great time at the bbq .,"He was all set to host a barbecue at his home. He invited his friends over to enjoy some delicious food, and once everyone arrived, he promptly offered them beers and lit the grill. He prepared tasty hamburgers and served them wonderful beers, so everyone had a lovely time at the barbecue.","He was totally prepped to throw a barbecue at his place. He invited his buddies over to chow down on some great food, and as soon as they showed up, he started passing out beers and fired up the grill. He grilled up some solid burgers and handed out some awesome brews, so everyone had a blast at the barbecue.",no_instructions,noinst_307,15,7
the goats are in the field and the bison are there too . the horse is eating grass as the deer looks on and the rhino 's graze .,"The goats are grazing in the field with the bison, while the horse eats grass and the deer watches nearby as the rhino peacefully grazes.","Goats and bison occupy the field, the horse feeds on grass, the deer observes, and the rhino grazes.",no_instructions,noinst_244,15,8
the high school had their fall pep rally parade today . the students were pumped and showed their school spirit . the homecoming candidates were driving in nice cars . [female] and [male] look excited in their vintage ride . the local fire department loaned out one of their older trucks to the school for the event .,"The high school held its fall pep rally parade today, and the students were absolutely thrilled, radiating so much school spirit! The homecoming candidates rode in lovely cars, with [female] and [male] looking overjoyed in their charming vintage vehicle. The local fire department generously lent one of their classic trucks to the school for the celebration.","The high school ran its fall pep rally parade today. Students were pumped up and showed strong school spirit. Homecoming candidates drove sharp cars, and [female] and [male] looked excited in their vintage ride. The local fire department provided one of their older trucks for the event.",no_instructions,noinst_178,15,9
i went to an amusement park last week . there were a ton of decorations there . i got to ride on some rides . they were very fast . i had a lot of fun there .,"I visited an amusement park last week, and it was absolutely charming with all the delightful decorations. I enjoyed going on several rides, which were incredibly thrilling. It was such a wonderful and fun experience!",I hit the amusement park last week—tons of decorations everywhere. Rode some rides; they were super fast. Had a blast.,no_instructions,noinst_405,15,10
i went to the wedding earlier . there were many people there . the food was delicious . we spent many hours dancing . the cake was also very good .,"I attended the wedding earlier, and it was so lovely with so many people there! The food was absolutely delicious, and we spent hours dancing—the cake was also incredibly good.","I was at the wedding earlier. There were a lot of people there, and the food was great. We danced for hours, and the cake was also very good.",no_instructions,noinst_423,16,1
i went on a tour at an art museum today . there were many portraits to view . many of the portraits had explanations on what they artist was thinking when they painting their paintings . here is another portrait . i like how the artist put the emotion in the face and hand gestures . this photo showed the artist with her painting . i thought was pretty cool . the next one is a sketch on feet . while this was an unique subject | i thought that the artist captured the feet well . the last one is of street art . i love the colors and the amazing ability in street art .,"I had such a lovely time touring an art museum today! I got to see so many beautiful portraits, and I really appreciated how many of them had little notes explaining what the artist was thinking while creating them. One portrait in particular stood out to me—I just adored how the artist conveyed such deep emotion through the facial expression and hand gestures. It was so special to also see a photo of the artist with her work; I found that really touching. Next, there was a sketch focused on feet, and while it was an unusual subject, I thought the artist captured the details wonderfully. Finally, I saw some vibrant street art—the colors were absolutely stunning, and I’m always in awe of the incredible talent behind such pieces.","I toured an art museum today and viewed numerous portraits. Many included explanations of the artists' intentions. One portrait effectively conveyed emotion through facial and hand details. A photo showed the artist with her painting, which was notable. Another piece was a sketch of feet—an unusual subject, but well-executed. The final display featured street art with strong colors and impressive skill.",style_instructions,style_227,16,2
the opening band went on stage to a roaring crowd . you can tell that the crowd is excited ! the opening act was very entertaining . they really pumped up the audience for the headliner . this was the vehicle the headliner band came in ! this thing was huge ! we managed to get an aerial shot of the stage and crowd . the crowd was small but powerful ! the show was very entertaining to watch ! all the performers were talented and the crowd was happy !,"The opening band took the stage to a roaring, enthusiastic crowd! You could really feel the excitement building. The opening act was so entertaining—they absolutely energized the audience for the headliner. And the vehicle the headliner arrived in was just massive! We were able to capture an aerial view of the stage and crowd. Though the crowd wasn’t huge, their energy was incredible! The show was a delight to watch, with all the performers showing such talent and the crowd radiating happiness!","The opening band hit the stage to a roaring crowd. The energy was intense from the start. The opening act delivered a solid performance, firing up the audience for the headliner. The headliner’s vehicle was massive—a real standout. We got an aerial shot of the stage and crowd. The crowd was compact but powerful. The show was highly entertaining, with skilled performers and a pumped crowd.",no_instructions,noinst_53,16,3
[female] wondered what this object taste like ? since [female] does n't know what it is | [female] will break it . [female] then cried because she was no longer having fun . luckily | there were more things to play with . [female] again wondered | what does this object taste like .,"She wondered what this object might taste like, since she didn't know what it was. She decided to break it, then cried because she was no longer having fun. Luckily, there were more things to play with. She again wondered, what does this object taste like?","She wondered what this object tasted like, since she didn't know what it was. She broke it, then cried because she was no longer having fun. Luckily, there were more things to play with. She again wondered, what does this object taste like.",no_instructions,noinst_96,16,4
the place was wonderfully decorated . people had fun engaging with the crafts . and of course everyone had to get a bite to eat at some point . playing around | he was in high spirits . this tent near the edge of the fair was extremely cute !,"The space was so beautifully decorated, and everyone seemed to have a lovely time exploring the crafts together. Naturally, we all took a moment to enjoy a little snack. He was absolutely beaming with joy, and that adorable tent near the fair's edge just made everything feel even more special!",The decorations were excellent. People enjoyed the crafts. Everyone ate at some point. He was enthusiastic. The tent near the fair's edge was very appealing.,style_instructions,style_11,16,5
touring location for our vacation . glad to get the photo with the location . the statues were best . the blooms are not there yet . the organization memorial was awesome .,"I'm so glad we toured this location for our vacation—it was wonderful to get a photo here! The statues were absolutely the best part, though the blooms weren't quite out yet. The organization memorial was truly awesome and moving.",Toured the vacation location. Got a photo there. The statues were the highlight. Blooms weren’t present yet. The organization memorial was impressive.,style_instructions,style_349,16,6
the flower girl was so cute the brides father walked her down the isle the bride and groom sat and waited to kiss the groom and his best man posed for pictures the couple got married on the ocean,"The sweet little flower girl looked absolutely adorable as the bride's father escorted her down the aisle; the bride and groom sat waiting tenderly to share their kiss, and the groom and his best man paused for lovely photos. The couple had their beautiful ceremony right by the ocean.",The flower girl was cute. The bride's father walked her down the aisle. The bride and groom waited to kiss. The groom and best man posed for photos. The couple married by the ocean.,style_instructions,style_413,16,7
touring location for our vacation . glad to get the photo with the location . the statues were best . the blooms are not there yet . the organization memorial was awesome .,"We're so thrilled to be touring this vacation spot—I absolutely loved getting a photo here! The statues were just beautiful, and although the blooms haven't appeared yet, the organization memorial was truly amazing.","Great touring this vacation location—got a solid photo of the spot. The statues were the highlight. Blooms aren’t in yet, but the organization memorial was impressive.",no_instructions,noinst_349,16,8
i went to a neat parade the other day and had a good time . there were people dressed up in traditional clothing doing irish jigs . there were people in a marching band playing great band music . the mascot for the local high school was bringing up the rear . i bet it was hot in there ! at the end the marching band got together on the field to talk about how they could improve .,"I had such a lovely time at the parade the other day! It felt so heartwarming to see people dressed in traditional clothing performing Irish jigs, and the marching band’s music was absolutely delightful. The local high school’s mascot brought up the rear—I imagine it must have been quite warm in that costume! At the end, the band gathered on the field to discuss how they could improve, which I thought was really thoughtful.","I attended a well-organized parade and enjoyed it. People performed Irish jigs in traditional dress, and a marching band played strong music. The high school mascot finished the procession. The costume likely felt hot. Afterwards, the band met on the field to review performance improvements.",style_instructions,style_179,16,9
some like to take walks through formal gardens . there are statues to admire . you may even find one in the middle of a pond . of course | the flowers are blooming . bees and butterflies enjoy the gardens too .,"Some of us enjoy strolling through formal gardens. There are lovely statues to admire, and you might even discover one placed right in the middle of a pond. Naturally, the flowers are in full bloom, and bees and butterflies delight in the gardens as well.","Some people enjoy walking through formal gardens. There are statues to appreciate, and you might even find one situated in the middle of a pond. Of course, the flowers are blooming, and bees and butterflies also frequent the gardens.",no_instructions,noinst_249,16,10
i took the plunge . i never ran a race before . but i trained hard for this . i ran long and i ran hard . and i got to see the top of the world .,"I took the leap, even though I’d never run a race before. I trained so hard for this—running long and giving it my all—and it felt incredible to finally see the top of the world.","I took the plunge and ran my first race. I trained hard, ran long and hard, and reached the top of the world.",style_instructions,style_284,17,1
a group of friends threw a party for the lady . she was so excited to be there . they made a delicious fruit cake for her . after the cake they said a few kind words about her . at the end everyone wished her well .,"A group of friends hosted a party for the woman. She was absolutely thrilled to be there. They baked a scrumptious fruit cake just for her. Following the cake, they shared some heartfelt words about her. In the end, everyone wished her all the best.","A group of friends threw a party for the lady. She was really excited to be there. They made a tasty fruit cake for her. After the cake, they said a few kind words about her. At the end, everyone wished her well.",no_instructions,noinst_154,17,2
the soldier shook hands with her superior officer . they chatted about location ; were they are both from . the sailors lined up to greet the veterans . the sailors were all dressed in the best uniforms . the vets have arrived !,"The soldier warmly shook hands with her superior officer, and they chatted fondly about their shared hometowns. The sailors, all dressed in their finest uniforms, lined up to greet the veterans with heartfelt excitement as they arrived.",The soldier shook hands with her superior and discussed their common origin. Sailors in full dress uniform assembled to greet the arriving veterans.,style_instructions,style_397,17,3
we went to a beachside seafood restaurant for dinner . they offered many fresh options of locally caught seafood . the shrimp were so fresh and delicious . we had fresh flounder for our entree and i 've never had better . we will be returning to location on future visits to this area .,"We had such a lovely dinner at a charming beachside seafood restaurant! They offered so many fresh, locally caught options—I was absolutely delighted by the shrimp, which were incredibly fresh and delicious. Our entree was fresh flounder, and honestly, I've never tasted better. We'll definitely be coming back here on future visits to the area.","We dined at a beachside seafood restaurant that offered fresh, locally caught options. The shrimp were fresh and delicious. We had flounder for our entree—it was the best I've ever had. We'll return on future visits.",style_instructions,style_213,17,4
wang is preparing pumpkins for the 14th annual halloween contest in his hometown . wang using very distinctive tools to carve all his pumpkins . wang carves different faces in all of his pumpkins . wang even carves double faces on some of them . at last wang adds the final touches | and wang 's pumpkins are now ready for display .,"Wang is preparing pumpkins for the 14th annual Halloween contest in his hometown, using very distinctive tools to carve all of them. He carves different faces in each pumpkin and even adds double faces on some. At last, he applies the final touches, and his pumpkins are now ready for display.","Wang prepares pumpkins for the 14th annual Halloween contest in his hometown. He uses very distinctive tools to carve all the pumpkins, with different faces on each and double faces on some. Finally, he adds the finishing touches—Wang's pumpkins are ready for display.",no_instructions,noinst_166,17,5
fund raising event to support helpless animals . some of our fundraisers decided to dress in costumes for the event . band members performed several songs for the crowd . our drummer had some good skills playing the drums . and our guitarist did an awesome job getting us all entertained .,"We held a heartwarming fundraising event to support helpless animals, where some of our dedicated fundraisers decided to dress in adorable costumes to show their compassion. Our band members performed several beautiful songs that really connected with the crowd, and our drummer showcased such lovely skills on the drums, while our guitarist did an absolutely wonderful job keeping everyone entertained and engaged.",A fundraising event was held to support helpless animals. Fundraisers wore costumes. Band members performed songs for the crowd. The drummer demonstrated strong drumming skills. The guitarist excelled at entertaining.,style_instructions,style_84,17,6
[male] was making some sweet treats for his daughter and wife . he put frosting and then sprinkles on them . his wife absolutely loved them . his daughter was in awe of the treats . many were gone by the time he got to sample them .,"I was making such lovely sweet treats for my precious daughter and beloved wife. Gently spreading the frosting and then sprinkling colorful decorations, I felt so happy creating these for them. My wife absolutely adored them, and our daughter was completely enchanted by how magical they looked. It warmed my heart to see so many already enjoyed before I could even try one myself.",I made sweet treats for my daughter and wife. I frosted and sprinkled them. My wife loved them. My daughter was impressed. Most were eaten before I sampled any.,style_instructions,style_46,17,7
having a few drinks at the party . or maybe more than a few . everyone is having a good time . maybe too much as she says enough good times ! enjoying some delicious snacks and beverages | some adult beverages too ! we even had some cake . looks like someone is a fan of organization organization . some minor violence erupted after a few too many adult beverages .,"We're having such a lovely time at the party with a few drinks—or perhaps a bit more! Everyone is thoroughly enjoying themselves, maybe a little too much, as she insists we've had enough fun for now. We're savoring delicious snacks and beverages, including some grown-up drinks, and even had some cake. It seems someone really appreciates organization! Unfortunately, a bit of a scuffle broke out after one too many adult beverages.","Had a few drinks at the party, maybe more. Everyone's having a good time, possibly too good—she said enough's enough. Enjoyed some great snacks and drinks, adult ones included. Even had cake. Looks like someone's big on organization. A little scuffle started after too many drinks.",no_instructions,noinst_426,17,8
our wood shop class held a demonstration in the gymnasium . we showed our skills off to everyone who attended . people even offered to buy our furniture . no one offered to buy this ugly bird house . here 's our teacher in action . he can make anything out of wood .,"Our wood shop class had a demonstration in the gymnasium, where we proudly showcased our skills for everyone who came. People even wanted to buy our furniture, though no one offered for this rather plain birdhouse. Here's our teacher working his magic—he can craft absolutely anything from wood!",Our wood shop class did a demonstration in the gym. We showed off our skills to everyone there. People even made offers on our furniture. Nobody wanted to buy this ugly bird house. Here’s our teacher in action—he can build anything out of wood.,no_instructions,noinst_232,17,9
the bowl of lemonade punch had not been spiked yet | but it was only a matter of time . the cotton company doors were locked . the town was celebrating its anniversary . the message was clear . do n't work too hard ! nobody was at this store either . they were baking and cooking for the big party . the barbershop was open . everyone wanted to look their best for the festivities . there would be music played on the piano as soon as the townspeople arrived .,"The bowl of lemonade punch hadn't been spiked yet, though it was only a matter of time. The cotton company doors were locked tight. The town was joyfully celebrating its anniversary. The message came through clearly: don't work too hard! Nobody was at this store either. They were busy baking and cooking for the big party. The barbershop remained open. Everyone wanted to look their absolute best for the festivities. Music would be played on the piano as soon as the townspeople arrived.","The lemonade punch bowl hadn't been spiked yet, but it was only a matter of time. The cotton company doors were locked. The town marked its anniversary. The message was clear: don't work too hard. No one was at this store either. They baked and cooked for the big party. The barbershop stayed open. Everyone aimed to look sharp for the festivities. Music would be played on the piano once the townspeople arrived.",no_instructions,noinst_20,17,10
the kids had a blast in the park they learned about being nice to others there was face painting and lots of people came to the event there was even a show from the local high school dance club,"The children absolutely loved their time at the park, where they joyfully learned about kindness and sharing with others. There was delightful face painting, and so many wonderful people came to join the fun—even the local high school dance club put on a lovely show for everyone!","Kids enjoyed the park event, learning kindness through activities. Face painting was available, and attendance was high. The local high school dance club performed.",style_instructions,style_292,18,1
we joined partners in hope to help restore this country . we taught them irrigation techniques | gardening and sewing . they are now on their way to being self sufficient . they are very grateful we helped them with so many different things . we all posed for a pretty picture i can have back home .,"We joined with our partners hoping to help restore this country. We lovingly taught them irrigation techniques, gardening, and sewing, and now they’re wonderfully on their way to becoming self-sufficient. They’re so grateful for all the different ways we supported them, and we all gathered for a beautiful photo that I can treasure back home.","We partnered to restore the country by teaching irrigation, gardening, and sewing. They’re now achieving self-sufficiency and appreciate the comprehensive assistance. We took a group photo for remembrance.",style_instructions,style_100,18,2
speech by the president of the location location | barack obama . excited to hear the speech . waiting for the president to arrive . the president starting his speech . the crowd outside and the secure service waiting for the gates to open .,"The president of the location is giving a speech, Barack Obama. I'm so excited to hear it! Just waiting for him to arrive. Now he's starting his speech. The crowd is gathered outside, and the security service is waiting to open the gates.","President of the location, Barack Obama, is giving a speech. Excited to hear it. Waiting for the president's arrival. The president begins his speech. The crowd is outside, security waiting to open the gates.",no_instructions,noinst_127,18,3
we went on a trip . we saw lots of cool buildings . the architecture was amazing . i loved being there . i ca n't wait to go back .,We went on the most wonderful trip! We saw so many beautiful buildings—the architecture was absolutely amazing. I truly loved being there and can't wait to go back.,We went on a trip and saw many impressive buildings. The architecture was amazing. I enjoyed being there and look forward to returning.,no_instructions,noinst_199,18,4
the people are setting up for the art session . she doing the finishing touches . this later is concentrating hard on her artwork . after the art session everyone ate and waited for their art to dry or set . this guy is displaying his amazing artwork . it was joyous day .,"The people are preparing for the art session. She is adding the final details. This girl is deeply focused on her creative piece. After the session, everyone enjoyed a meal while waiting for their art to dry or set. This young man is proudly showing his wonderful artwork. It was a delightful day.","The group is getting ready for the art session. She's putting on the finishing touches. This person is concentrating intensely on the artwork. After the art session, everybody ate and waited for their pieces to dry or set. This guy is displaying his impressive artwork. It was a great day.",no_instructions,noinst_27,18,5
boom ! boom ! boom ! the wonders of a fireworks display . the designs an colors of fireworks are mesmerizing . some look like crystals . others look like pom-poms . the finale is always the best part of a fireworks display .,"Oh my! Boom, boom, boom—what a dazzling fireworks display! The designs and colors are simply mesmerizing. Some look like sparkling crystals, while others resemble fluffy pom-poms. The finale is always the absolute best part!","Boom, boom, boom—that’s the power of a fireworks display. The designs and colors are mesmerizing. Some look like sharp crystals; others look like pom-poms. The finale is always the best part.",no_instructions,noinst_453,18,6
i went to this promotion event for 888.com . there were some promotion girls that looked like they were straight from a vegas performance . there were actually poker | bridge and other table games going on . here 's another view of the table . i finally got a picture of myself with my mom . we had a lot of fun .,"I attended this lovely promotion event for 888.com, where there were some promotion girls who looked as if they'd just stepped out of a Vegas show! There were actually poker, bridge, and other table games happening, and here's another view of the table. I was so happy to finally get a picture with my mom—we had such a wonderful time together.","I went to a promotion event for 888.com. Promotion girls resembled Vegas performers. Poker, bridge, and table games were available. Another table view. Got a photo with my mom. We had fun.",style_instructions,style_314,18,7
it started as a side project | but soon everyone became involved . with a lot of blood | sweat | and tears the old pub was completely remodeled . the interior was updated to a more modern style and [male] insisted we add a floating dolphin . the exterior was scrubbed clean and lights added to enhance the pub at night . on opening night | we all partied like crazy .,"It began as a side endeavor, but soon everyone was drawn in. With tremendous dedication and heartfelt effort, the old pub was entirely transformed. The interior was refreshed with a more contemporary aesthetic, and [male] was insistent about including a floating dolphin. The exterior was meticulously cleaned and illuminated to beautifully highlight the pub after dark. On the opening evening, we all celebrated with joyous enthusiasm.","It started as a side project and quickly got everyone on board. Through sheer hard work and grit, the old pub got a full remodel. The interior was upgraded to a modern look, and [male] pushed to add a floating dolphin. The outside was scrubbed down and lit up to make the pub stand out at night. On opening night, we all partied hard.",no_instructions,noinst_16,18,8
eating our meal together is a time honored tradition . the food was really good ! after eating some people like to work on the computer . while other people like to take a nap ! the cat is wondering where his food is at !,"It's such a cherished tradition when we share a meal together, and the food was absolutely delicious! After eating, some of us might enjoy working on the computer, while others prefer to relax with a nap. The sweet cat is probably wondering where his food has gone!","Sharing meals is a long-standing tradition. The food was excellent. After eating, some people work on computers, while others nap. The cat is looking for its food.",style_instructions,style_83,18,9
the field trip to organization is a wonderful learning experience for all the students . the teacher gives them direction on what 's going to be happening on their tour of this organization facility . a organization representative shows the students a film about the location landing . the students were given some tests to evaluate their knowledge of the space program . the students were shown these charts and educated on the conditions the location surface .,"We are so fortunate that this field trip to the organization offers such a wonderful learning experience for all the students. The teacher kindly gives them directions about what will be happening during their tour of the facility, and a representative warmly shows them a film about the location landing. The students were thoughtfully given tests to evaluate their understanding of the space program, and they were shown these beautiful charts and gently educated on the conditions of the location surface.",The field trip to the organization provides a valuable learning experience. The teacher directs students on the tour schedule. An organization representative shows a film about the location landing. Students completed tests to assess space program knowledge. They viewed charts and learned about surface conditions.,style_instructions,style_286,18,10
we were in location and visited bronner 's christmas wonderland . this is an overview of the place we visited . there were many unique objects in the store . here are ornaments that come from location and other countries . this is the ultimate pitstop for christmas decorations .,"We were in the location and had the most wonderful time visiting Bronner's Christmas Wonderland. I'd love to share an overview of this magical place we explored together. There were so many unique and enchanting objects throughout the store. Here you can find ornaments that come from location and other countries, each with its own special charm. It truly feels like the ultimate pitstop for finding the perfect Christmas decorations.",We visited Bronner's Christmas Wonderland in the location. This overview covers the store. It contained many unique objects. Ornaments are available from the location and other countries. This is the definitive destination for Christmas decorations.,style_instructions,style_160,19,1
he must have been so uncomfortable int he costume . they were gathered in the kitchen talking . frankenstein was looking pretty cool . uncle [male] was drinking a lot that night . a lot of people showed up for the party .,He must have felt so uncomfortable in that costume. Everyone was gathered in the kitchen chatting. Frankenstein looked really cool. Uncle was drinking quite a bit that night. So many people came to the party.,He must've been really uncomfortable in the costume. They were all gathered in the kitchen talking. Frankenstein looked pretty cool. Uncle drank a lot that night. A ton of people showed up for the party.,no_instructions,noinst_171,19,2
the college students were celebrating the end of semester . the went to a restaurant for dinner . everyone was a little goofy after all the tests . it was so nice to relax . the group was quite big and had a great time .,"We college students were celebrating the end of the semester together and went to a restaurant for dinner. After all those tests, everyone felt a bit goofy and it was just so lovely to finally relax. Our group was quite large, and we all had such a wonderful time.",College students celebrated the semester's end by going to a restaurant. Everyone was goofy after the tests and enjoyed relaxing. The large group had a great time.,style_instructions,style_490,19,3
so today [female] choose to play with every thing she could find on the laundry basket i do n't know what this thing is but she could n't keep it out of her mouth later on she found something of mom 's to pay with then she grabbed some pieces of her brothers are set and began to play with those kids are so easy amused at this age,"Today, she decided to explore everything she could find in the laundry basket. I'm not sure what that item was, but she simply couldn't resist putting it in her mouth. Afterwards, she discovered something of Mom's to play with, and then she picked up a few pieces from her brother's set and started enjoying them. Children are so easily entertained at this age.","She went through everything in the laundry basket today. I don’t know what that thing was, but she kept trying to chew on it. Then she found something of Mom’s to mess with, and grabbed a couple pieces from her brother’s set to play with. Kids get amused so easily at this age.",no_instructions,noinst_97,19,4
the gym was festively lit for the dance . over in the corner a photo both was set up . everyone posed for a photo with their date . the laser lights really added to the festive mood . the dance floor was crowded all night .,"The gym was beautifully lit for the dance, creating such a lovely atmosphere. In the corner, a photo booth was set up, and everyone had fun posing for pictures with their dates. The laser lights really enhanced the festive mood, and the dance floor stayed wonderfully crowded all night long.",The gym was lit for the dance. A photo booth was set up in the corner. Everyone took photos with their dates. Laser lights boosted the festive mood. The dance floor remained crowded throughout the night.,style_instructions,style_187,19,5
